id,name,district_id,active
767,Ayun,138,1
768,"Chư Drăng",134,1
769," Đăk Pơ Pho",127,1
770,KRong,121,1
771,"Chư Răng",116,1
772,"Chư Gu ",134,1
773,"Đăk Djrăng",138,1
774,"Đắk Cơ Ning",127,1
775,"Ia Yok",109,1
776," Kim Tân Ia Ma Rơn",116,1
777,"Nghĩa An",121,1
778,"Kông Yang",127,1
779,"Đak Jơ Ta",138,1
780,"Chư Ngọc",134,1
781,"Sơn Lang ",121,1
782,"Thị trấn Phú Thiện",145,1
783," Cuôr Knia",69,1
784,"SRó ",127,1
785,"Đak Ta Ley",138,1
786,"Chư Rcăm",134,1
787,"Sơ Pai",121,1
788,"Ayun Hạ",145,1
789," Ea Bar",69,1
790,"Ya Ma",127,1
791,"Đất Bằng",134,1
792," Đăk Yă",138,1
793,"Chơ Rô Pơ Nan",145,1
794,"Tơ Tung",121,1
795," Ea Huar",69,1
796,"Đăk Trôi",138,1
797,"Yang Nam",127,1
798," Krông Năng",134,1
799," Lơ Ku",121,1
800," Ea Nuôl",69,1
801," Chư A Thai",145,1
802,"Phú Cần",134,1
803,"Đê Ar",138,1
804,"Yang Trung",127,1
805,"Ia Ake",145,1
806," Ea Wer",69,1
807,Hra,138,1
808,"Thị trấn Kông Chro ",127,1
809,Uar,134,1
810," Cư Êwi",78,1
811," Ia Hiao",145,1
812," Krông Na",69,1
813,"Dray Bhăng",78,1
814," Ia HDreh",134,1
815,"Kon Thụp",138,1
816,"Ia Piar",145,1
817,"Tân Hòa",69,1
818,"Thị trấn Quảng Phú",72,1
819," Ia Mláh",134,1
820,"Kon Chiêng",138,1
821," Ea Bhôk",78,1
822,"Ia Peng",145,1
823," Cuôr Đăng",72,1
824," Lơ Pang",138,1
825,"Ia RMok",134,1
826," Ea Hu",78,1
827,"Thị trấn Ea Drăng",86,1
828,"Ia Sol",145,1
829,"Thị trấn Ea Pốk",72,1
830,"Ia RSai",134,1
831,"Ea Ktur",78,1
832," Cư A Mung",86,1
833," Ia Yeng",145,1
834," Cư Dliê M'nông",72,1
835,"Thị trấn Ea Kar",89,1
836,"Ia RSươm",134,1
837," Cư Mốt",86,1
838," Ea Ning",78,1
839," Cư M'gar",72,1
840,"Thị trấn Ea Knốp",89,1
841," Dliê Yang",86,1
842,"Ea Tiêu",78,1
843,"Thị trấn Buôn Trấp",103,1
844," Cư Suê",72,1
845," Cư Bông",89,1
846,"Thị trấn Krông Kmar",108,1
847," Hòa Hiệp",78,1
848," Băng A Drênh",103,1
849," Ea Hiao",86,1
850," Ea Drơng",72,1
851," Cư Đrăm",108,1
852," Cư Elang",89,1
853," Ea H'leo",86,1
854," Bình Hòa",103,1
855," Cư Kty",108,1
856," Cư Huê",89,1
857," Ea H'đinh",72,1
858,"Thị trấn Ea Súp",96,1
859," Dray Sáp",103,1
860," Ea Khal",86,1
861,"Ea Kiết",72,1
862," Cư Pu",108,1
863," Cư Ni",89,1
864," Cư Kbang",96,1
865,"Dur Kmăl",103,1
866," Ea Nam",86,1
867," Ea Kpam",72,1
868,"Cư Mlan",96,1
869," Dang Kang",108,1
870," Cư Prông",89,1
871," Ea Ral",86,1
872," Ea Bông",103,1
873," Ea Trul",108,1
874," Ea Kuêh",72,1
875," Ea Bung",96,1
876," Cư Yang",89,1
877," Ea Na",103,1
878," Ea Sol",86,1
879,"Ea M'dróh",72,1
880," Ea Đar",89,1
881," Ea Lê",96,1
882," Ea Tir",86,1
883," Ea M'nang",72,1
884," Hòa Lễ",108,1
885," Quảng Điền",103,1
886," Ea Kmút",89,1
887," Ea Rốk",96,1
888," Hòa Phong",108,1
889,"Ea Wy",86,1
890," Ea Tar",72,1
891," Ea Ô",89,1
892," Ia Jlơi",96,1
